Heb	Eng
אברותיה	her / its pinions
אברותיהם	their m. pinions
אברותיהן	their f. pinions
התאגדות	union
התאגדות	union of ...
התאגדותי	my union
התאגדותנו	our union
התאגדותך	your m. sg. union
התאגדותך	your f. sg. union
התאגדותכם	your m. pl. union
התאגדותכן	your f. pl. union
התאגדותו	his / its union
התאגדותה	her / its union
התאגדותם	their m. union
התאגדותן	their f. union
אוגד	I / you m. sg. / he / it bind(s) together
אוגדת	I / you f. sg. / she / it bind(s) together
אוגדים	we / you m. pl. / they m. bind together
אוגדות	we / you f. pl. / they f. bind together
אגדתי	I bound together
אגדנו	we bound together
אגדת	you m. sg. bound together
אגדת	you f. sg. bound together
אגדתם	you m. pl. bound together
אגדתם	you m. pl. bound together
אגדתן	you f. pl. bound together
אגדתן	you f. pl. bound together
אגד	he / it bound together
אגדה	she / it bound together
אגדו	they bound together
תאגדי	you f. sg. will bind together
תאגדו	you m. pl. will bind together
יאגדו	they m. will bind together
אגדי!‏	(to a woman) bind together!
אגדו!‏	(to men) bind together!
מתאגד	I / you m. sg. / he / it unite(s)
מתאגדת	I / you f. sg. / she / it unite(s)
מתאגדים	we / you m. pl. / they m. unite
מתאגדות	we / you f. pl. / they f. unite
התאגדתי	I united
התאגדנו	we united
התאגדת	you m. sg. united
התאגדת	you f. sg. united
התאגדתם	you m. pl. united
התאגדתם	you m. pl. united
התאגדתן	you f. pl. united
התאגדתן	you f. pl. united
התאגד	he / it united
התאגדה	she / it united
התאגדו	they united
אתאגד	I will unite
נתאגד	we will unite
תתאגד	you m. sg. will unite
תתאגדי	you f. sg. will unite
תתאגדו	you m. pl. will unite
תתאגדנה	you f. pl. will unite
תתאגדו	you f. pl. will unite
יתאגד	he / it will unite
תתאגד	she / it will unite
יתאגדו	they m. will unite
תתאגדנה	they f. will unite
יתאגדו	they f. will unite
התאגד!‏	(to a man) unite!
התאגדי!‏	(to a woman) unite!
התאגדו!‏	(to men) unite!
התאגדנה!‏	(to women) unite!
התאגדו!‏	(to women) unite!
להתאגד	to unite
אגד	bundle
אגדים	bundles
אגד	bundle of ...
אגדי	bundles of ...
אגדי	my bundle
אגדנו	our bundle
אגדך	your m. sg. bundle
אגדך	your f. sg. bundle
אגדכם	your m. pl. bundle
אגדכן	your f. pl. bundle
אגדו	his / its bundle
אגדה	her / its bundle
אגדם	their m. bundle
אגדן	their f. bundle
אגדינו	our bundles
