Heb	Eng
אגדיך	your m. sg. bundles
אגדיכם	your m. pl. bundles
אגדיכן	your f. pl. bundles
אגדיו	his / its bundles
אגדיה	her / its bundles
אגדיהם	their m. bundles
אגדיהן	their f. bundles
אגידה	binding
אגידות	bindings
אגידת	binding of ...
אגידות	bindings of ...
אגידתי	my binding
אגידתנו	our binding
אגידתך	your m. sg. binding
אגידתך	your f. sg. binding
אגידתכם	your m. pl. binding
אגידתכן	your f. pl. binding
אגידתו	his / its binding
אגידתה	her / its binding
אגידתם	their m. binding
אגידתן	their f. binding
אגידותינו	our bindings
אגידותיך	your m. sg. bindings
אגידותיכם	your m. pl. bindings
אגידותיכן	your f. pl. bindings
אגידותיו	his / its bindings
אגידותיה	her / its bindings
אגידותיהם	their m. bindings
אגידותיהן	their f. bindings
אוגד	copula
אוגדים	copulas
אוגד	copula of ...
אוגדי	copulas of ...
אוגדי	my copula
אוגדנו	our copula
אוגדך	your m. sg. copula
אוגדך	your f. sg. copula
אוגדכם	your m. pl. copula
אוגדכן	your f. pl. copula
אוגדו	his / its copula
אוגדה	her / its copula
אוגדם	their m. copula
אוגדן	their f. copula
אוגדינו	our copulas
אוגדיך	your m. sg. copulas
אוגדיכם	your m. pl. copulas
אוגדיכן	your f. pl. copulas
אוגדיו	his / its copulas
אוגדיה	her / its copulas
אוגדיהם	their m. copulas
אוגדיהן	their f. copulas
מאגד	I / you m. sg. / he / it unite(s)
מאגדת	I / you f. sg. / she / it unite(s)
מאגדים	we / you m. pl. / they m. unite
מאגדות	we / you f. pl. / they f. unite
אאגד	I will unite
נאגד	we will unite
תאגד	you m. sg. will unite
תאגדי	you f. sg. will unite
תאגדו	you m. pl. will unite
תאגדנה	you f. pl. will unite
תאגדו	you f. pl. will unite
יאגד	he / it will unite
תאגד	she / it will unite
יאגדו	they m. will unite
תאגדנה	they f. will unite
יאגדו	they f. will unite
אגד!‏	(to a man) unite!
אגדי!‏	(to a woman) unite!
אגדו!‏	(to men) unite!
אגדנה!‏	(to women) unite!
אגדו!‏	(to women) unite!
לאגד	to unite
נאגד	I am / you m. sg. are / he / it is bound together
נאגדת	I am / you f. sg. are / she / it is bound together
נאגדים	we / you m. pl. / they m. are bound together
נאגדות	we / you f. pl. / they f. are bound together
נאגדתי	I was bound together
נאגדנו	we were bound together
נאגדת	you m. sg. were bound together
נאגדת	you f. sg. were bound together
נאגדתם	you m. pl. were bound together
נאגדתם	you m. pl. were bound together
נאגדתן	you f. pl. were bound together
נאגדתן	you f. pl. were bound together
נאגד	he / it was bound together
נאגדה	she / it was bound together
נאגדו	they were bound together
תאגיד	corporation
תאגידים	corporations
תאגיד	corporation of ...
תאגידי	corporations of ...
תאגידי	my corporation
תאגידנו	our corporation
תאגידך	your m. sg. corporation
תאגידך	your f. sg. corporation
תאגידכם	your m. pl. corporation
תאגידכן	your f. pl. corporation
תאגידו	his / its corporation
תאגידה	her / its corporation
תאגידם	their m. corporation
תאגידן	their f. corporation
תאגידינו	our corporations
תאגידיך	your m. sg. corporations
תאגידיכם	your m. pl. corporations
תאגידיכן	your f. pl. corporations
תאגידיו	his / its corporations
תאגידיה	her / its corporations
תאגידיהם	their m. corporations
תאגידיהן	their f. corporations
אגוז	nut
אגוזים	nuts
אגוז	nut of ...
אגוזי	nuts of ...
אגוזי	my nut
אגוזנו	our nut
אגוזך	your m. sg. nut
אגוזך	your f. sg. nut
אגוזכם	your m. pl. nut
אגוזכן	your f. pl. nut
אגוזו	his / its nut
אגוזה	her / its nut
אגוזם	their m. nut
אגוזן	their f. nut
אגוזינו	our nuts
אגוזיך	your m. sg. nuts
אגוזיכם	your m. pl. nuts
אגוזיכן	your f. pl. nuts
אגוזיו	his / its nuts
אגוזיה	her / its nuts
אגוזיהם	their m. nuts
אגוזיהן	their f. nuts
אגם	lake
אגמים	lakes
אגם	lake of ...
אגמי	lakes of ...
אגמי	my lake
אגמנו	our lake
אגמך	your m. sg. lake
אגמך	your f. sg. lake
אגמכם	your m. pl. lake
אגמכן	your f. pl. lake
אגמו	his / its lake
אגמה	her / its lake
אגמם	their m. lake
אגמן	their f. lake
אגמינו	our lakes
אגמיך	your m. sg. lakes
אגמיכם	your m. pl. lakes
אגמיכן	your f. pl. lakes
אגמיו	his / its lakes
אגמיה	her / its lakes
אגמיהם	their m. lakes
אגמיהן	their f. lakes
אגן	basin
אגנים	basins
אגן	basin of ...
אגני	basins of ...
אגני	my basin
אגננו	our basin
אגנך	your m. sg. basin
אגנך	your f. sg. basin
אגנכם	your m. pl. basin
אגנכן	your f. pl. basin
אגנו	his / its basin
אגנה	her / its basin
אגנם	their m. basin
אגנן	their f. basin
אגנינו	our basins
אגניך	your m. sg. basins
אגניכם	your m. pl. basins
אגניכן	your f. pl. basins
אגניו	his / its basins
אגניה	her / its basins
אגניהם	their m. basins
אגניהן	their f. basins
אגס	pear
אגסים	pears
אגס	pear of ...
אגסי	pears of ...
אגסי	my pear
אגסנו	our pear
אגסך	your m. sg. pear
אגסך	your f. sg. pear
אגסכם	your m. pl. pear
אגסכן	your f. pl. pear
אגסו	his / its pear
אגסה	her / its pear
אגסם	their m. pear
אגסן	their f. pear
אגסינו	our pears
אגסיך	your m. sg. pears
אגסיכם	your m. pl. pears
אגסיכן	your f. pl. pears
אגסיו	his / its pears
אגסיה	her / its pears
אגסיהם	their m. pears
אגסיהן	their f. pears
אוגף	I / you m. sg. / he / it outflank(s)
אוגפת	I / you f. sg. / she / it outflank(s)
אוגפים	we / you m. pl. / they m. outflank
אוגפות	we / you f. pl. / they f. outflank
אגפתי	I outflanked
אגפנו	we outflanked
אגפת	you m. sg. outflanked
אגפת	you f. sg. outflanked
אגפתם	you m. pl. outflanked
אגפתם	you m. pl. outflanked
אגפתן	you f. pl. outflanked
אגפתן	you f. pl. outflanked
אגף	he / it outflanked
אגפה	she / it outflanked
אגפו	they outflanked
תאגפי	you f. sg. will outflank
תאגפו	you m. pl. will outflank
יאגפו	they m. will outflank
אגפי!‏	(to a woman) outflank!
אגפו!‏	(to men) outflank!
אגף	branch
אגפים	branches
אגף	branch of ...
אגפי	branches of ...
אגפי	my branch
אגפנו	our branch
אגפך	your m. sg. branch
אגפך	your f. sg. branch
אגפכם	your m. pl. branch
אגפכן	your f. pl. branch
אגפו	his / its branch
אגפה	her / its branch
אגפם	their m. branch
אגפן	their f. branch
אגפינו	our branches
אגפיך	your m. sg. branches
אגפיכם	your m. pl. branches
אגפיכן	your f. pl. branches
אגפיו	his / its branches
אגפיה	her / its branches
אגפיהם	their m. branches
אגפיהן	their f. branches
מאגף	I / you m. sg. / he / it outflank(s)
מאגפת	I / you f. sg. / she / it outflank(s)
מאגפים	we / you m. pl. / they m. outflank
מאגפות	we / you f. pl. / they f. outflank
אאגף	I will outflank
נאגף	we will outflank
תאגף	you m. sg. will outflank
תאגפי	you f. sg. will outflank
תאגפו	you m. pl. will outflank
תאגפנה	you f. pl. will outflank
תאגפו	you f. pl. will outflank
יאגף	he / it will outflank
תאגף	she / it will outflank
יאגפו	they m. will outflank
תאגפנה	they f. will outflank
יאגפו	they f. will outflank
אגף!‏	(to a man) outflank!
אגפי!‏	(to a woman) outflank!
אגפו!‏	(to men) outflank!
אגפנה!‏	(to women) outflank!
אגפו!‏	(to women) outflank!
לאגף	to outflank
אגרון	thesaurus
אגרונים	thesauruses
אגרון	thesaurus of ...
אגרוני	thesauruses of ...
אגרוני	my thesaurus
אגרוננו	our thesaurus
אגרונך	your m. sg. thesaurus
אגרונך	your f. sg. thesaurus
אגרונכם	your m. pl. thesaurus
אגרונכן	your f. pl. thesaurus
אגרונו	his / its thesaurus
אגרונה	her / its thesaurus
אגרונם	their m. thesaurus
אגרונן	their f. thesaurus
אגרונינו	our thesauruses
אגרוניך	your m. sg. thesauruses
אגרוניכם	your m. pl. thesauruses
אגרוניכן	your f. pl. thesauruses
אגרוניו	his / its thesauruses
אגרוניה	her / its thesauruses
אגרוניהם	their m. thesauruses
אגרוניהן	their f. thesauruses
מאגר	reserve
מאגרים	reserves
מאגר	reserve of ...
מאגרי	reserves of ...
מאגרי	my reserve
מאגרנו	our reserve
מאגרך	your m. sg. reserve
מאגרך	your f. sg. reserve
מאגרכם	your m. pl. reserve
מאגרכן	your f. pl. reserve
מאגרו	his / its reserve
מאגרה	her / its reserve
מאגרם	their m. reserve
מאגרן	their f. reserve
מאגרינו	our reserves
מאגריך	your m. sg. reserves
מאגריכם	your m. pl. reserves
מאגריכן	your f. pl. reserves
מאגריו	his / its reserves
מאגריה	her / its reserves
מאגריהם	their m. reserves
מאגריהן	their f. reserves
אוגר	I / you m. sg. / he / it stockpile(s)
אוגרת	I / you f. sg. / she / it stockpile(s)
אוגרים	we / you m. pl. / they m. stockpile
אוגרות	we / you f. pl. / they f. stockpile
אגרתי	I stockpiled
אגרנו	we stockpiled
אגרת	you m. sg. stockpiled
אגרת	you f. sg. stockpiled
אגרתם	you m. pl. stockpiled
אגרתם	you m. pl. stockpiled
אגרתן	you f. pl. stockpiled
אגרתן	you f. pl. stockpiled
אגר	he / it stockpiled
אגרה	she / it stockpiled
אגרו	they stockpiled
תאגרי	you f. sg. will stockpile
תאגרו	you m. pl. will stockpile
יאגרו	they m. will stockpile
אגרי!‏	(to a woman) stockpile!
אגרו!‏	(to men) stockpile!
נאגר	I am / you m. sg. are / he / it is collected
נאגרת	I am / you f. sg. are / she / it is collected
נאגרים	we / you m. pl. / they m. are collected
נאגרות	we / you f. pl. / they f. are collected
נאגרתי	I was collected
נאגרנו	we were collected
נאגרת	you m. sg. were collected
נאגרת	you f. sg. were collected
נאגרתם	you m. pl. were collected
נאגרתם	you m. pl. were collected
נאגרתן	you f. pl. were collected
נאגרתן	you f. pl. were collected
נאגר	he / it was collected
נאגרה	she / it was collected
נאגרו	they were collected
אגרה	fee
אגרות	fees
אגרת	fee of ...
אגרות	fees of ...
אגרתי	my fee
אגרתנו	our fee
אגרתך	your m. sg. fee
אגרתך	your f. sg. fee
אגרתכם	your m. pl. fee
אגרתכן	your f. pl. fee
אגרתו	his / its fee
אגרתה	her / its fee
אגרתם	their m. fee
אגרתן	their f. fee
אגרותינו	our fees
אגרותיך	your m. sg. fees
אגרותיכם	your m. pl. fees
אגרותיכן	your f. pl. fees
אגרותיו	his / its fees
אגרותיה	her / its fees
אגרותיהם	their m. fees
אגרותיהן	their f. fees
אגרטל	vase
אגרטלים	vases
אגרטל	vase of ...
אגרטלי	vases of ...
אגרטלי	my vase
אגרטלנו	our vase
אגרטלך	your m. sg. vase
אגרטלך	your f. sg. vase
אגרטלכם	your m. pl. vase
אגרטלכן	your f. pl. vase
אגרטלו	his / its vase
אגרטלה	her / its vase
אגרטלם	their m. vase
אגרטלן	their f. vase
אגרטלינו	our vases
אגרטליך	your m. sg. vases
אגרטליכם	your m. pl. vases
אגרטליכן	your f. pl. vases
אגרטליו	his / its vases
אגרטליה	her / its vases
אגרטליהם	their m. vases
אגרטליהן	their f. vases
מתאגרף	I / you m. sg. / he / it box(es)
מתאגרפת	I / you f. sg. / she / it box(es)
מתאגרפים	we / you m. pl. / they m. box
מתאגרפות	we / you f. pl. / they f. box
התאגרפתי	I boxed
התאגרפנו	we boxed
התאגרפת	you m. sg. boxed
התאגרפת	you f. sg. boxed
התאגרפתם	you m. pl. boxed
התאגרפתם	you m. pl. boxed
התאגרפתן	you f. pl. boxed
התאגרפתן	you f. pl. boxed
התאגרף	he / it boxed
התאגרפה	she / it boxed
התאגרפו	they boxed
אתאגרף	I will box
נתאגרף	we will box
תתאגרף	you m. sg. will box
תתאגרפי	you f. sg. will box
תתאגרפו	you m. pl. will box
תתאגרפנה	you f. pl. will box
תתאגרפו	you f. pl. will box
יתאגרף	he / it will box
תתאגרף	she / it will box
יתאגרפו	they m. will box
תתאגרפנה	they f. will box
יתאגרפו	they f. will box
התאגרף!‏	(to a man) box!
התאגרפי!‏	(to a woman) box!
התאגרפו!‏	(to men) box!
התאגרפנה!‏	(to women) box!
התאגרפו!‏	(to women) box!
להתאגרף	to box
אגרוף	boxing
אגרוף	boxing of ...
אגרופי	my boxing
אגרופנו	our boxing
אגרופך	your m. sg. boxing
אגרופך	your f. sg. boxing
אגרופכם	your m. pl. boxing
אגרופכן	your f. pl. boxing
אגרופו	his / its boxing
אגרופה	her / its boxing
אגרופם	their m. boxing
אגרופן	their f. boxing
אדיב	polite, courteous, obliging
אדיבה	polite, courteous, obliging
אדיבים	polite, courteous, obliging
אדיבות	polite, courteous, obliging
אדון	mister
אדונים	misters
אדון	mister of ...
אדוני	misters of ...
